"Id","Approx.Acc.","Approx.RT","prop.score","Shape","Mod.Acc.","Mod.RT","VSWM"
"1",0.82,1.21955555555556,0.709259259259259,1495,0.7625,2.69155431841817,0.0874529804992191
"10",0.76,1.07184422110553,0.723677248677249,2760,0.85,3.21947077471867,1.32055566719832
"100",0.77,0.786407035175879,0.403835978835979,2115,0.8,7.51227934752655,-0.111056434493591
"101",0.865,1.09261,0.589417989417989,1180,0.675,1.21548880557838,-0.518286427012076
"102",0.875,0.94128,0.681084656084656,2710,0.7875,2.21789738977261,1.16384802991653
"103",0.86,1.003935,0.457539682539683,1335,0.775,2.63538849066429,-0.71056697639188
"104",0.855,0.99397,0.645899470899471,1815,0.7375,1.38269946446969,0.227223821544276
"105",0.78,1.01774874371859,0.39047619047619,1350,0.825,2.32174245103838,-0.868689810599207
"106",0.9,1.02389447236181,0.848677248677249,2380,0.825,4.44820389800245,1.28242615327069
"107",0.755,1.07221,0.478703703703704,2325,0.85,5.60516400853039,0.279855432334862
"108",0.77,0.970525,0.343518518518519,1255,0.55,0.769049789907125,-1.07916013289811
"109",0.745,0.9893,0.391005291005291,1120,0.8125,2.45735423019448,-1.08479562428233
"110",0.795,0.96698,0.723677248677249,2780,0.575,0.591230816891775,1.33946568673915
"111",0.82,1.13715,0.327513227513228,1575,0.525,3.15775109595645,-0.817722004095787
"112",0.84,1.18784422110553,0.793650793650794,2225,0.725,1.89574239317735,0.99449475404429
"113",0.835,1.09760301507538,0.589153439153439,1680,0.7875,1.90677518552986,-0.0462156440095756
"12",0.715,0.81806,0.57962962962963,1560,0.5,0.818040017045943,-0.184145159909636
"13",0.805,1.07767336683417,0.541798941798942,2005,0.725,1.90840330172081,0.139404885771608
"14",0.73,0.995251256281407,0.140343915343915,680,0.8,2.49905166100617,-2.14483703267224
"15",0.77,1.11144387755102,0.601719576719577,2065,0.6875,4.01558043602851,0.35008824426572
"16",0.79,1.13301025641026,0.845238095238095,1860,0.8125,2.80741034731061,0.781929473472603
"17",0.65,0.944176470588235,0.520634920634921,1310,0.6125,2.81331549837711,-0.572094734727923
"18",0.87,1.142165,0.703703703703704,2685,0.9625,6.797737066951,1.19832532729634
"19",0.81,1.29783248730964,0.24457671957672,915,0.75,1.38833038869551,-1.65484032889788
"2",0.8,1.12773737373737,0.821428571428571,2175,0.9,1.95647384880466,1.01858878460291
"20",0.74,1.27327638190955,0.787566137566138,1930,0.9125,4.05224101240999,0.699938738898547
"21",0.77,1.157695,0.743253968253968,2095,0.8875,4.20357645962191,0.742095725812374
"22",0.725,1.107645,0.564814814814815,1225,0.8125,4.78460115856925,-0.538951496237537
"23",0.795,0.97243216080402,0.573148148148148,905,0.5125,2.00392439984144,-0.820101085067576
"24",0.875,1.03015,0.437566137566138,2150,0.5375,4.66985870426312,0.00869855327297964
"25",0.825,0.88051,0.488095238095238,1605,0.85,5.44486459467224,-0.376775725238947
"26",0.845,1.010095,0.731481481481482,2405,0.8375,4.04385837158853,1.00495413313544
"27",0.775,1.27624120603015,0.207407407407407,1390,0.7375,2.74549050057386,-1.3012259901099
"28",0.765,1.12699497487437,0.576984126984127,1165,0.6375,1.31587539359201,-0.564415101022957
"29",0.775,1.04003015075377,0.507936507936508,1625,0.4875,4.10152589306747,-0.306887791833341
"3",0.795,0.991042553191489,0.628968253968254,1760,0.9,4.99547931794987,0.131720114642389
"30",0.85,1.28483756345178,0.467460317460317,1945,0.8875,8.93817715044801,-0.108322423464241
"31",0.82,0.812548223350254,0.831746031746032,3015,0.7625,4.81653473925065,1.83931812052736
"32",0.845,1.11421,0.59510582010582,1875,0.575,3.85867801701876,0.153450420672929
"33",0.765,1.10501724137931,0.429232804232804,1680,0.5375,1.07044771454579,-0.457097629759682
"34",0.79,1.160035,0.39047619047619,1020,0.7,2.19756346134765,-1.18070513302287
"35",0.585,0.969422110552764,0.631216931216931,1450,0.7625,3.43628835702925,-0.155607691335768
"36",0.79,1.49110050251256,0.228571428571429,1045,0.5625,2.01687559804424,-1.57304738573342
"37",0.825,1.37848,0.868386243386243,2315,0.675,2.00910548668229,1.27160665086868
