MA_practice,corrAns,corrAns2,MA_baseline,MA_exp,corrAns3,Practice_trials.thisRepN,Practice_trials.thisTrialN,Practice_trials.thisN,Practice_trials.thisIndex,Baseline_block.thisRepN,Baseline_block.thisTrialN,Baseline_block.thisN,Baseline_block.thisIndex,experimental_block.thisRepN,experimental_block.thisTrialN,experimental_block.thisN,experimental_block.thisIndex,session_number_key.keys,session_number_key.corr,session_number_key.rt,trial_key.keys,trial_key.corr,trial_key.rt,basetrial_key.keys,basetrial_key.corr,basetrial_key.rt,Mani_key.keys,Mani_key.rt,exptrial_key.keys,exptrial_key.corr,exptrial_key.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,1,1,1.19433765495,,,,,,,,,,,,2016_Sep_15_1604,60.0280939,MA task,,taylor,
45=27 (mod 4),m,,,,,0,0,0,5,,,,,,,,,,,,z,0,6.24749790606,,,,,,,,,2016_Sep_15_1604,60.0280939,MA task,,taylor,
39=35 (mod 8) ,m,,,,,0,1,1,9,,,,,,,,,,,,z,0,3.26534210877,,,,,,,,,2016_Sep_15_1604,60.0280939,MA task,,taylor,
9=3 (mod 6),z,,,,,0,2,2,2,,,,,,,,,,,,z,1,2.34917841169,,,,,,,,,2016_Sep_15_1604,60.0280939,MA task,,taylor,
19=12 (mod 7),z,,,,,0,3,3,8,,,,,,,,,,,,z,1,1.93267525389,,,,,,,,,2016_Sep_15_1604,60.0280939,MA task,,taylor,
7=2 (mod 5),z,,,,,0,4,4,0,,,,,,,,,,,,z,1,1.51619449351,,,,,,,,,2016_Sep_15_1604,60.0280939,MA task,,taylor,
27=22 (mod 3),m,,,,,0,5,5,11,,,,,,,,,,,,m,1,3.11548664204,,,,,,,,,2016_Sep_15_1604,60.0280939,MA task,,taylor,
98=44 (mod 3),z,,,,,0,6,6,6,,,,,,,,,,,,m,0,1.81609020557,,,,,,,,,2016_Sep_15_1604,60.0280939,MA task,,taylor,
56=52 (mod 4),z,,,,,0,7,7,10,,,,,,,,,,,,z,1,1.43288406308,,,,,,,,,2016_Sep_15_1604,60.0280939,MA task,,taylor,
44=16 (mod 3),m,,,,,0,8,8,7,,,,,,,,,,,,z,0,2.09882670238,,,,,,,,,2016_Sep_15_1604,60.0280939,MA task,,taylor,
51=19 (mod 4),z,,,,,0,9,9,4,,,,,,,,,,,,z,1,1.71610956998,,,,,,,,,2016_Sep_15_1604,60.0280939,MA task,,taylor,
8=5 (mod 4),m,,,,,0,10,10,1,,,,,,,,,,,,m,1,1.09972259875,,,,,,,,,2016_Sep_15_1604,60.0280939,MA task,,taylor,
6=1 (mod 3),m,,,,,0,11,11,3,,,,,,,,,,,,z,0,2.61585503277,,,,,,,,,2016_Sep_15_1604,60.0280939,MA task,,taylor,
,,z,67=33 (mod 2),62=32 (mod 3),z,,,,,0,0,0,8,,,,,,,,,,,m,0,1.9660492603,,,,,,2016_Sep_15_1604,60.0280939,MA task,,taylor,
