smmtext,Text,marstext,smm_loop.thisRepN,smm_loop.thisTrialN,smm_loop.thisN,smm_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,mars_loop.thisRepN,mars_loop.thisTrialN,mars_loop.thisN,mars_loop.thisIndex,ageindex.response,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,handdomresp.keys,handdomresp.rt,rating_2.response,rating_2.rt,rating.response,rating.rt,rating_3.response,rating_3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,19,,,,,,,,,,,,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,,,,,,,,,,,,,,,,m,1,3.33201679205,,,,,,,,,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,,,,,,,,,,,,,,,,,,,r,2.71551481228,,,,,,,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
The effects of stress are negative and should be avoided.,,,0,0,0,0,,,,,,,,,,,,,,,1,10.73,,,,,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
Experiencing stress facilitates my learning and growth.,,,0,1,1,1,,,,,,,,,,,,,,,5,7.415,,,,,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
Experiencing stress depletes my health and vitality.,,,0,2,2,2,,,,,,,,,,,,,,,2,4.832,,,,,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
Experiencing stress enhances my performance and productivity.,,,0,3,3,3,,,,,,,,,,,,,,,4,4.899,,,,,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
Experiencing stress inhibits my learning and growth.,,,0,4,4,4,,,,,,,,,,,,,,,2,2.483,,,,,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
Experiencing stress improves my health and vitality.,,,0,5,5,5,,,,,,,,,,,,,,,3,2.567,,,,,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
Experiencing stress debilitates my performance and productivity.,,,0,6,6,6,,,,,,,,,,,,,,,2,11.897,,,,,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
The effects of stress are positive and should be utilized.,,,0,7,7,7,,,,,,,,,,,,,,,4,2.467,,,,,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,I've been turning to work or other activities to take my mind off things.,,,,,,0,0,0,0,,,,,,,,,,,,,4,10.247,,,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,I've been concentrating my efforts on doing something about the situation I'm in.,,,,,,0,1,1,1,,,,,,,,,,,,,3,6.716,,,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,I've been saying to myself "this isn't real.".,,,,,,0,2,2,2,,,,,,,,,,,,,1,2.817,,,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,I've been using alcohol or other drugs to make myself feel better.,,,,,,0,3,3,3,,,,,,,,,,,,,1,3.916,,,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,I've been getting emotional support from others.,,,,,,0,4,4,4,,,,,,,,,,,,,2,2.95,,,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,I've been giving up trying to deal with it.,,,,,,0,5,5,5,,,,,,,,,,,,,1,4.766,,,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,I've been taking action to try to make the situation better.,,,,,,0,6,6,6,,,,,,,,,,,,,3,3.85,,,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,I've been refusing to believe that it has happened.,,,,,,0,7,7,7,,,,,,,,,,,,,2,2.567,,,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,I've been saying things to let my unpleasant feelings escape.,,,,,,0,8,8,8,,,,,,,,,,,,,2,5.932,,,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,I’ve been getting help and advice from other people.,,,,,,0,9,9,9,,,,,,,,,,,,,3,1.784,,,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,I've been using alcohol or other drugs to help me get through it.,,,,,,0,10,10,10,,,,,,,,,,,,,1,1.701,,,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,"I've been trying to see it in a different light, to make it seem more positive.",,,,,,0,11,11,11,,,,,,,,,,,,,4,3.716,,,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,I’ve been criticizing myself.,,,,,,0,12,12,12,,,,,,,,,,,,,2,2.983,,,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,I've been trying to come up with a strategy about what to do.,,,,,,0,13,13,13,,,,,,,,,,,,,3,3.183,,,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,I've been getting comfort and understanding from someone.,,,,,,0,14,14,14,,,,,,,,,,,,,2,6.099,,,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,I've been giving up the attempt to cope.,,,,,,0,15,15,15,,,,,,,,,,,,,1,2.633,,,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,I've been looking for something good in what is happening.,,,,,,0,16,16,16,,,,,,,,,,,,,4,4.116,,,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,I've been making jokes about it.,,,,,,0,17,17,17,,,,,,,,,,,,,3,2.05,,,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,"I've been doing something to think about it less, such as going to  movies, watching TV, reading, daydreaming, sleeping, or shopping",,,,,,0,18,18,18,,,,,,,,,,,,,3,5.466,,,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,I've been accepting the reality of the fact that it has happened.,,,,,,0,19,19,19,,,,,,,,,,,,,4,2.467,,,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,I've been expressing my negative feelings.,,,,,,0,20,20,20,,,,,,,,,,,,,3,2.434,,,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,I've been trying to find comfort in my religion or spiritual beliefs.,,,,,,0,21,21,21,,,,,,,,,,,,,2,3.65,,,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,I’ve been trying to get advice or help from other people about what to do.,,,,,,0,22,22,22,,,,,,,,,,,,,3,2.234,,,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,I've been learning to live with it.,,,,,,0,23,23,23,,,,,,,,,,,,,4,2.05,,,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,I've been thinking hard about what steps to take.,,,,,,0,24,24,24,,,,,,,,,,,,,3,5.249,,,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,I’ve been blaming myself for things that happened.,,,,,,0,25,25,25,,,,,,,,,,,,,2,3.067,,,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,I've been praying or meditating.,,,,,,0,26,26,26,,,,,,,,,,,,,4,2.5,,,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,I've been making fun of the situation,,,,,,0,27,27,27,,,,,,,,,,,,,2,3.816,,,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,,Taking an examination (final) in a mathematics course.,,,,,,,,,0,0,0,0,,,,,,,,,,,4,3.583,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,,Thinking about an upcoming mathematics test one week before,,,,,,,,,0,1,1,1,,,,,,,,,,,3,6.615,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,,Thinking about an upcoming mathematics test one day before.,,,,,,,,,0,2,2,2,,,,,,,,,,,4,4.049,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,,Thinking about an upcoming mathematics test one hour before.,,,,,,,,,0,3,3,3,,,,,,,,,,,4,1.933,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,,Thinking about an upcoming mathematics test five minutes before.,,,,,,,,,0,4,4,4,,,,,,,,,,,4,1.65,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,,Waiting to get a mathematics test returned in which you expected to do well.,,,,,,,,,0,5,5,5,,,,,,,,,,,3,3.483,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,,Receiving your final mathematics grade in the mail.,,,,,,,,,0,6,6,6,,,,,,,,,,,3,5.332,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,,Realizing that you have to take a number of mathematics classes to fulfill the requirements in your major.,,,,,,,,,0,7,7,7,,,,,,,,,,,4,3.583,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,,Being given a "pop" quiz in a mathematics class.,,,,,,,,,0,8,8,8,,,,,,,,,,,2,3.516,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,,Studying for a mathematics test.,,,,,,,,,0,9,9,9,,,,,,,,,,,4,3.516,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,,Taking the mathematics section of a college entrance examination.,,,,,,,,,0,10,10,10,,,,,,,,,,,3,4.033,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,,Taking an examination (quiz) in a mathematics course.,,,,,,,,,0,11,11,11,,,,,,,,,,,4,2.717,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,,Picking up the mathematics textbook to begin working on a homework assignment.,,,,,,,,,0,12,12,12,,,,,,,,,,,3,3.383,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,,Being given a homework assignment of many difficult problems which is due the next class meeting.,,,,,,,,,0,13,13,13,,,,,,,,,,,3,3.649,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,,Getting ready to study for a mathematics test.,,,,,,,,,0,14,14,14,,,,,,,,,,,3,1.251,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,,Dividing a five digit number by a two digit number in private with pencil and paper.,,,,,,,,,0,15,15,15,,,,,,,,,,,1,4.533,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,,Adding 976 + 777 on paper.,,,,,,,,,0,16,16,16,,,,,,,,,,,0,8.748,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,,Reading a cash register receipt.,,,,,,,,,0,17,17,17,,,,,,,,,,,0,2.05,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,,Figuring the sales tax on a purchase that costs more than $1.00.,,,,,,,,,0,18,18,18,,,,,,,,,,,0,2.65,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,,Figuring out your monthly budget.,,,,,,,,,0,19,19,19,,,,,,,,,,,0,1.467,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,,Being given a set of numerical problems involving addition to solve on paper.,,,,,,,,,0,20,20,20,,,,,,,,,,,0,2.567,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,,Having someone watch you as you total up a column of figures.,,,,,,,,,0,21,21,21,,,,,,,,,,,0,3.75,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,,Totaling up a dinner bill that you think overcharged you.,,,,,,,,,0,22,22,22,,,,,,,,,,,0,2.817,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,,Being responsible  for collecting dues for an organization and keeping track of the amount.,,,,,,,,,0,23,23,23,,,,,,,,,,,0,2.583,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,,"Studying for a driver's license test and memorizing the figures involved, such as the distances it takes to stop a car going at different speeds.",,,,,,,,,0,24,24,24,,,,,,,,,,,0,2.717,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
,,Totaling up the dues received and the expenses of a club you belong to.,,,,,,,,,0,25,25,25,,,,,,,,,,,0,2.267,2016_Nov_29_1118,60.0302180013,SMM-Brief COPE,01,ch1,
