MA_practice,corrAns,corrAns2,MA_baseline,MA_exp,corrAns3,Practice_trials.thisRepN,Practice_trials.thisTrialN,Practice_trials.thisN,Practice_trials.thisIndex,Baseline_block.thisRepN,Baseline_block.thisTrialN,Baseline_block.thisN,Baseline_block.thisIndex,experimental_block.thisRepN,experimental_block.thisTrialN,experimental_block.thisN,experimental_block.thisIndex,session_number_key.keys,session_number_key.corr,session_number_key.rt,trial_key.keys,trial_key.corr,trial_key.rt,basetrial_key.keys,basetrial_key.corr,basetrial_key.rt,Mani_key.keys,Mani_key.rt,exptrial_key.keys,exptrial_key.corr,exptrial_key.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,0,0,3.93203418286,,,,,,,,,,,,2016_Nov_11_1350,59.8990831373,MA task,,mike,
9=3 (mod 6),z,,,,,0,0,0,2,,,,,,,,,,,,z,1,5.84795323998,,,,,,,,,2016_Nov_11_1350,59.8990831373,MA task,,mike,
6=1 (mod 3),m,,,,,0,1,1,3,,,,,,,,,,,,m,1,3.83207219318,,,,,,,,,2016_Nov_11_1350,59.8990831373,MA task,,mike,
45=27 (mod 4),m,,,,,0,2,2,5,,,,,,,,,,,,m,1,6.29778622941,,,,,,,,,2016_Nov_11_1350,59.8990831373,MA task,,mike,
44=16 (mod 3),m,,,,,0,3,3,7,,,,,,,,,,,,z,0,11.2626204516,,,,,,,,,2016_Nov_11_1350,59.8990831373,MA task,,mike,
19=12 (mod 7),z,,,,,0,4,4,8,,,,,,,,,,,,m,0,2.93241795496,,,,,,,,,2016_Nov_11_1350,59.8990831373,MA task,,mike,
98=44 (mod 3),z,,,,,0,5,5,6,,,,,,,,,,,,m,0,3.0324195693,,,,,,,,,2016_Nov_11_1350,59.8990831373,MA task,,mike,
8=5 (mod 4),m,,,,,0,6,6,1,,,,,,,,,,,,z,0,2.7824911138,,,,,,,,,2016_Nov_11_1350,59.8990831373,MA task,,mike,
7=2 (mod 5),z,,,,,0,7,7,0,,,,,,,,,,,,z,1,2.5993037802,,,,,,,,,2016_Nov_11_1350,59.8990831373,MA task,,mike,
39=35 (mod 8) ,m,,,,,0,8,8,9,,,,,,,,,,,,m,1,3.06571491677,,,,,,,,,2016_Nov_11_1350,59.8990831373,MA task,,mike,
51=19 (mod 4),z,,,,,0,9,9,4,,,,,,,,,,,,m,0,6.86425218009,,,,,,,,,2016_Nov_11_1350,59.8990831373,MA task,,mike,
