"MA_practice","corrAns","corrAns2","MA_baseline","MA_exp","corrAns3","Practice_trials.thisRepN","Practice_trials.thisTrialN","Practice_trials.thisN","Practice_trials.thisIndex","Baseline_block.thisRepN","Baseline_block.thisTrialN","Baseline_block.thisN","Baseline_block.thisIndex","experimental_block.thisRepN","experimental_block.thisTrialN","experimental_block.thisN","experimental_block.thisIndex","session_number_key.keys","session_number_key.corr","session_number_key.rt","trial_key.keys","trial_key.corr","trial_key.rt","basetrial_key.keys","basetrial_key.corr","basetrial_key.rt","Mani_key.keys","Mani_key.rt","exptrial_key.keys","exptrial_key.corr","exptrial_key.rt","date","frameRate","expName","session","participant","X"
"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1.19433765495,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"2016_Sep_15_1604",60.0280939,"MA task",NA,"taylor",NA
"45=27 (mod 4)","m","","","","",0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"z",0,6.24749790606,"",NA,NA,"",NA,"",NA,NA,"2016_Sep_15_1604",60.0280939,"MA task",NA,"taylor",NA
"39=35 (mod 8) ","m","","","","",0,1,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"z",0,3.26534210877,"",NA,NA,"",NA,"",NA,NA,"2016_Sep_15_1604",60.0280939,"MA task",NA,"taylor",NA
"9=3 (mod 6)","z","","","","",0,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"z",1,2.34917841169,"",NA,NA,"",NA,"",NA,NA,"2016_Sep_15_1604",60.0280939,"MA task",NA,"taylor",NA
"19=12 (mod 7)","z","","","","",0,3,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"z",1,1.93267525389,"",NA,NA,"",NA,"",NA,NA,"2016_Sep_15_1604",60.0280939,"MA task",NA,"taylor",NA
"7=2 (mod 5)","z","","","","",0,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"z",1,1.51619449351,"",NA,NA,"",NA,"",NA,NA,"2016_Sep_15_1604",60.0280939,"MA task",NA,"taylor",NA
"27=22 (mod 3)","m","","","","",0,5,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",1,3.11548664204,"",NA,NA,"",NA,"",NA,NA,"2016_Sep_15_1604",60.0280939,"MA task",NA,"taylor",NA
"98=44 (mod 3)","z","","","","",0,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",0,1.81609020557,"",NA,NA,"",NA,"",NA,NA,"2016_Sep_15_1604",60.0280939,"MA task",NA,"taylor",NA
"56=52 (mod 4)","z","","","","",0,7,7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"z",1,1.43288406308,"",NA,NA,"",NA,"",NA,NA,"2016_Sep_15_1604",60.0280939,"MA task",NA,"taylor",NA
"44=16 (mod 3)","m","","","","",0,8,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"z",0,2.09882670238,"",NA,NA,"",NA,"",NA,NA,"2016_Sep_15_1604",60.0280939,"MA task",NA,"taylor",NA
"51=19 (mod 4)","z","","","","",0,9,9,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"z",1,1.71610956998,"",NA,NA,"",NA,"",NA,NA,"2016_Sep_15_1604",60.0280939,"MA task",NA,"taylor",NA
"8=5 (mod 4)","m","","","","",0,10,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",1,1.09972259875,"",NA,NA,"",NA,"",NA,NA,"2016_Sep_15_1604",60.0280939,"MA task",NA,"taylor",NA
"6=1 (mod 3)","m","","","","",0,11,11,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"z",0,2.61585503277,"",NA,NA,"",NA,"",NA,NA,"2016_Sep_15_1604",60.0280939,"MA task",NA,"taylor",NA
"","","z","67=33 (mod 2)","62=32 (mod 3)","z",NA,NA,NA,NA,0,0,0,8,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"m",0,1.9660492603,"",NA,"",NA,NA,"2016_Sep_15_1604",60.0280939,"MA task",NA,"taylor",NA
"","","z","6=3 (mod 3)","5=2 (mod 3)","z",NA,NA,NA,NA,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"z",1,9.37891454669e-05,"",NA,"",NA,NA,"2016_Sep_15_1604",60.0280939,"MA task",NA,"taylor",NA
"","","m","84=76 (mod 5)","88=79 (mod 5)","m",NA,NA,NA,NA,0,2,2,19,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"z",0,1.21629598177,"",NA,"",NA,NA,"2016_Sep_15_1604",60.0280939,"MA task",NA,"taylor",NA
"","","m","7=4 (mod 4)","7=1 (mod 4)","m",NA,NA,NA,NA,0,3,3,5,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"z",0,9.19227022678e-05,"",NA,"",NA,NA,"2016_Sep_15_1604",60.0280939,"MA task",NA,"taylor",NA
"","","z","33=27 (mod 6)","31=25 (mod 6)","z",NA,NA,NA,NA,0,4,4,20,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"z",1,2.74885551572,"",NA,"",NA,NA,"2016_Sep_15_1604",60.0280939,"MA task",NA,"taylor",NA
"","","z","42=22 (mod 5)","49=24 (mod 5)","z",NA,NA,NA,NA,0,5,5,10,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"m",0,8.39902932057e-05,"",NA,"",NA,NA,"2016_Sep_15_1604",60.0280939,"MA task",NA,"taylor",NA
"","","m","8=4 (mod 5)","8=3 (mod 5)","m",NA,NA,NA,NA,0,6,6,1,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"z",0,2.31594485571,"",NA,"",NA,NA,"2016_Sep_15_1604",60.0280939,"MA task",NA,"taylor",NA
"","","m","54=43 (mod 4)","50=41 (mod 3)","m",NA,NA,NA,NA,0,7,7,15,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"m",1,1.51606197549,"",NA,"",NA,NA,"2016_Sep_15_1604",60.0280939,"MA task",NA,"taylor",NA
"","","m","50=21 (mod 6)","50=29 (mod 5)","m",NA,NA,NA,NA,0,8,8,9,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"m",1,2.48250225725,"",NA,"",NA,NA,"2016_Sep_15_1604",60.0280939,"MA task",NA,"taylor",NA
